Security Segment,Panel,CR,Gap Score,W0,W-1,W-2,W-3,W-4,W-5,M0,M-1,M-2,M-3,M-4,M-5,Q0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7
,Panel 5,,2.1%,50.4%,31.0%,-13.0%,0.8%,0.0%,15.8%,4.9%,9.8%,14.5%,-3.8%,24.8%,-0.9%,50.4%,9.3%,7.3%,6.1%,9.2%,2.5%,3.7%,9.7%
,Panel 1,0.76,0.2%,-7.5%,-10.6%,3.8%,-2.2%,-17.2%,4.0%,-7.1%,-2.4%,-1.8%,-4.9%,-1.5%,-4.8%,-7.5%,-3.9%,-4.1%,-1.8%,3.3%,9.0%,2.1%,-2.7%
,Panel 1,,0.3%,-2.9%,-5.8%,2.7%,-12.1%,-17.8%,-0.4%,-7.6%,-3.1%,-4.6%,-8.3%,-2.8%,-6.0%,-2.9%,-5.6%,-5.9%,-2.2%,2.1%,7.7%,1.3%,-5.0%
,Panel 1,,1.2%,-39.7%,-36.3%,15.4%,43.2%,-13.2%,49.6%,-4.2%,1.4%,16.4%,17.8%,7.0%,2.3%,-39.7%,6.5%,7.6%,0.6%,10.5%,17.8%,7.8%,13.1%
,Panel 5,0.84,2.8%,0.3%,2.3%,-12.6%,-7.7%,17.7%,-6.0%,-4.8%,-1.1%,-6.0%,10.1%,-0.4%,4.0%,0.3%,0.4%,3.1%,9.4%,11.4%,5.1%,12.8%,7.2%
,Panel 5,,3.6%,7.8%,9.1%,-15.1%,-9.0%,32.8%,-17.0%,4.0%,1.5%,-11.1%,12.7%,-8.0%,-1.3%,7.8%,0.2%,-3.5%,11.1%,10.2%,-0.6%,11.8%,-0.3%
,Panel 5,,9.6%,-7.5%,-6.7%,-6.9%,-5.4%,-3.8%,12.8%,-13.1%,-5.3%,0.8%,7.2%,10.0%,9.1%,-7.5%,0.7%,10.3%,8.0%,12.4%,13.9%,13.8%,14.0%
,Panel 1,,73.1%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-96.4%,-4.5%,5.9%,8.5%,-100.0%,-65.1%,8.0%,8.0%,11.8%,9.5%,8.5%,10.1%
,Panel 5,,0.0%,-8.0%,15.0%,-7.9%,-16.8%,-16.1%,53.9%,-10.8%,-10.5%,-1.2%,-7.0%,-12.8%,-3.8%,-10.8%,-6.3%,-6.3%,1.8%,2.4%,5.4%,1.1%,5.5%
,Panel 3,,0.0%,-3.9%,4.9%,-5.6%,-3.0%,-8.2%,39.2%,-1.1%,-1.0%,-1.4%,-8.2%,7.9%,-2.7%,-2.9%,-1.1%,-0.5%,-1.4%,0.1%,2.9%,1.9%,0.7%
,Panel 5,,0.0%,1.4%,10.5%,-6.1%,0.5%,-11.1%,25.2%,-1.9%,3.7%,-0.2%,-3.4%,2.0%,-0.1%,6.0%,0.4%,-0.3%,-1.9%,-0.5%,1.2%,1.3%,-1.5%
,Panel 5,,0.0%,-62.4%,-49.4%,-33.1%,-27.1%,-2.9%,-2.9%,-28.7%,-9.1%,-15.2%,-1.9%,-13.1%,1.8%,-77.7%,-14.6%,-4.7%,-19.5%,22.9%,34.4%,17.3%,35.5%
,Panel 5,,0.0%,7.6%,11.9%,-0.4%,13.6%,-19.0%,31.1%,0.8%,6.7%,3.8%,-3.8%,5.7%,3.7%,12.0%,3.6%,1.9%,6.1%,4.3%,6.8%,7.0%,1.0%
,Panel 5,,0.0%,2.6%,10.3%,-8.1%,-3.0%,-8.9%,21.7%,-2.6%,1.3%,-2.5%,-5.0%,0.6%,-2.3%,13.9%,-1.5%,-2.0%,-1.7%,-2.5%,-1.3%,-0.4%,-1.2%
,Panel 5,,0.0%,-2.6%,7.5%,-5.3%,-3.2%,-5.6%,22.6%,-2.4%,4.0%,0.6%,-0.7%,1.2%,-0.3%,-12.6%,1.0%,0.4%,0.4%,0.4%,-0.6%,-0.4%,-0.9%
,Panel 5,,0.0%,2.3%,4.1%,-12.7%,-6.8%,-14.2%,20.7%,-7.1%,-3.8%,-6.3%,-9.0%,-2.8%,-2.7%,14.9%,-6.1%,-4.6%,-2.9%,-1.9%,0.4%,-1.4%,-11.9%
,Panel 5,,0.0%,-17.8%,-18.8%,-7.1%,-19.7%,-9.1%,-15.4%,-15.8%,9.1%,23.5%,21.8%,15.5%,18.0%,-8.0%,8.0%,17.5%,8.3%,2.8%,4.1%,4.7%,0.1%
,Panel 5,,0.0%,-1.9%,14.6%,-7.1%,-0.4%,-6.7%,29.4%,-0.8%,4.9%,-2.0%,-3.0%,0.8%,-1.9%,0.8%,0.7%,-1.1%,-10.0%,-2.8%,-0.1%,-0.4%,-1.0%
,Panel 5,,0.0%,4.1%,1.3%,4.8%,2.8%,1.7%,9.0%,4.9%,2.6%,3.2%,5.3%,3.1%,1.0%,2.8%,3.9%,6.2%,9.7%,10.5%,13.1%,13.6%,17.6%
,Panel 3,1.03,0.3%,-4.3%,6.8%,-2.0%,-0.8%,-6.7%,33.8%,-5.5%,1.1%,-0.4%,-7.0%,8.5%,-1.5%,-4.2%,0.4%,0.1%,-0.7%,-0.3%,2.5%,3.6%,0.0%
,Panel 5,,13.0%,15.9%,54.6%,61.4%,24.4%,15.3%,12.9%,-25.7%,33.5%,-20.5%,-23.5%,-38.9%,39.0%,-25.7%,-0.6%,-13.6%,10.1%,13.0%,33.0%,73.0%,12.4%
,Panel 5,,11.6%,13.3%,58.2%,70.5%,22.7%,11.3%,17.7%,-25.7%,35.1%,-22.2%,-33.6%,-42.0%,45.0%,-25.7%,-3.4%,-14.9%,10.9%,14.4%,36.1%,88.5%,19.9%
,Panel 5,,30.3%,50.2%,-0.7%,-17.3%,47.8%,58.4%,-22.0%,-25.4%,15.4%,-0.4%,121.2%,34.8%,-6.0%,-25.4%,34.1%,3.8%,3.2%,0.8%,4.1%,9.2%,-3.8%
,Panel 5,,0.6%,37.6%,23.1%,69.9%,-35.4%,115.5%,-22.2%,,27.9%,-29.1%,34.1%,17.0%,9.1%,,9.9%,10.6%,19.3%,40.1%,-18.9%,-11.8%,-5.6%
,Panel 3,2.10,5.6%,6.2%,10.6%,-6.7%,10.4%,30.7%,6.1%,9.3%,-12.9%,4.5%,-0.1%,9.9%,6.6%,-0.4%,5.2%,3.6%,8.2%,3.1%,8.4%,17.1%,9.0%
,Panel 5,1.87,5.0%,7.0%,11.7%,-1.1%,8.1%,39.2%,32.0%,12.6%,-17.5%,0.2%,0.0%,5.6%,1.2%,-2.8%,2.2%,0.5%,3.3%,-0.6%,5.6%,13.3%,8.7%
,Panel 1,1.59,4.8%,-7.3%,0.2%,-9.4%,3.2%,39.6%,17.2%,7.1%,-21.9%,-4.3%,-7.9%,1.3%,0.7%,-8.0%,-3.2%,-4.8%,2.5%,3.8%,0.8%,8.1%,1.1%
,Panel 5,,4.1%,56.7%,-2.7%,-8.1%,-19.9%,1.3%,247.8%,-3.4%,5.6%,-21.3%,0.1%,13.1%,5.8%,1.1%,-3.0%,-2.7%,1.6%,-7.8%,-1.2%,20.0%,5.6%
,Panel 5,,5.1%,6.8%,11.8%,-1.1%,8.2%,39.3%,31.5%,12.7%,-17.6%,0.3%,0.0%,5.5%,1.2%,-2.8%,2.2%,0.5%,3.3%,-0.5%,5.6%,13.2%,8.7%
,Panel 5,,7.8%,2.7%,-54.4%,-31.8%,10.8%,408.5%,1221.0%,-30.5%,97.8%,25.9%,-35.1%,43.2%,-42.1%,-5.6%,2.2%,-38.2%,30.7%,-6.2%,21.2%,105.1%,25.2%
,Panel 5,,0.4%,-1.0%,-10.2%,2.9%,-4.5%,60.1%,-44.7%,4.5%,12.3%,-15.4%,-6.4%,-7.2%,-5.5%,4.5%,-4.1%,-3.7%,-4.6%,-5.5%,-1.8%,1.2%,-4.9%
,Panel 1,,2.8%,-25.7%,-11.9%,4.4%,8.3%,11.6%,-16.9%,-27.7%,4.3%,-5.0%,-0.7%,1.5%,0.1%,-27.7%,-1.2%,1.5%,1.9%,-2.7%,-0.8%,-3.5%,-4.9%
,Panel 5,,0.2%,-7.1%,-5.7%,1.8%,10.5%,16.6%,-17.4%,-3.4%,6.4%,-5.6%,-3.2%,0.0%,-5.1%,-3.4%,-1.4%,-1.7%,-1.1%,-7.6%,-4.8%,-6.8%,-7.5%
,Panel 5,,0.1%,-7.1%,-5.7%,1.8%,10.5%,16.6%,-17.4%,-3.4%,6.4%,-5.6%,-3.0%,0.2%,-5.0%,-3.4%,-1.4%,-1.5%,-0.3%,3.1%,14.3%,12.5%,12.3%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,-99.4%,-99.1%,-95.8%
,Panel 1,1.07,2.8%,-25.7%,-11.9%,4.4%,8.3%,11.6%,-16.9%,-27.7%,4.3%,-5.0%,-0.7%,1.5%,0.1%,-27.7%,-1.2%,1.5%,1.9%,-2.7%,-0.8%,-3.5%,-4.9%
,Panel 1,,3.1%,-25.8%,-12.1%,4.1%,9.2%,11.6%,-17.1%,-28.1%,4.5%,-5.1%,-0.5%,1.6%,0.6%,-28.1%,-1.2%,1.9%,2.4%,6.5%,16.4%,14.5%,14.5%
,Panel 3,,1.2%,-15.9%,-4.6%,4.5%,11.9%,26.5%,-24.5%,-53.2%,21.7%,-0.3%,3.4%,8.6%,6.1%,-53.2%,7.9%,9.1%,9.1%,5.3%,10.5%,9.0%,6.1%
,Panel 5,1.27,8.0%,17.4%,10.5%,24.0%,19.3%,30.4%,110.3%,2.6%,18.3%,2.6%,12.4%,19.5%,10.4%,2.6%,11.3%,19.3%,14.5%,5.4%,13.6%,17.7%,31.3%
,Panel 3,1.70,6.9%,14.5%,16.9%,4.0%,13.8%,59.2%,24.9%,-3.4%,25.4%,-13.3%,-5.6%,23.6%,-2.8%,-3.4%,3.2%,10.1%,9.3%,-8.5%,4.9%,8.5%,21.8%
,Panel 5,,8.0%,17.5%,10.5%,24.0%,19.3%,30.7%,110.8%,2.5%,18.4%,2.7%,12.5%,19.7%,10.5%,2.5%,11.4%,19.4%,14.7%,5.3%,13.7%,18.0%,32.3%
,Panel 5,,20.8%,-67.8%,,-100.0%,-100.0%,-16.2%,,-67.8%,-19.9%,21.1%,-100.0%,-43.9%,104.7%,-67.8%,-23.3%,-2.4%,25.8%,37.0%,-31.1%,-41.5%,-99.1%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,25.3%,-5.8%,-26.4%
,Panel 5,,13.9%,0.7%,-1.7%,-24.4%,40.2%,-9.5%,11.9%,39.2%,-6.0%,32.4%,19.8%,11.4%,16.6%,39.2%,12.3%,26.2%,9.6%,117.7%,-7.2%,-55.7%,-12.5%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 3,2.18,4.7%,9.2%,31.6%,11.8%,9.6%,39.9%,-21.6%,7.4%,23.1%,1.5%,13.3%,24.4%,11.9%,7.4%,13.8%,18.4%,12.3%,6.8%,13.6%,21.9%,30.6%
,Panel 1,,2.3%,6.8%,14.8%,11.7%,5.0%,21.3%,-14.6%,-2.6%,13.3%,-0.3%,10.6%,11.5%,8.0%,-2.6%,8.6%,10.9%,7.0%,1.5%,1.3%,1.9%,2.7%
,Panel 5,1.68,1.4%,57.6%,21.7%,20.6%,12.2%,34.6%,-10.7%,,21.9%,5.2%,19.5%,19.2%,13.9%,,15.8%,17.2%,11.8%,6.3%,8.5%,15.3%,21.5%
,Panel 5,,4.7%,0.2%,-12.2%,-4.5%,14.9%,8.9%,18.7%,,2.1%,7.5%,3.5%,5.2%,-2.9%,,4.2%,-0.5%,-3.6%,-2.8%,3.8%,-1.1%,7.5%
,Panel 5,,4.0%,-86.8%,-32.7%,-54.9%,40.0%,-56.1%,-84.1%,,-41.5%,-48.5%,25.4%,-39.9%,-35.8%,,-27.7%,-23.7%,-1.0%,15.7%,33.4%,49.4%,59.3%
,Panel 5,,4.0%,-86.8%,-32.7%,-54.9%,40.0%,-56.1%,-84.1%,,-41.5%,-48.5%,25.4%,-39.9%,-35.8%,,-27.7%,-23.7%,-1.0%,15.7%,33.4%,49.4%,59.3%
,Panel 5,,24.9%,-68.3%,-70.5%,-71.0%,-69.5%,-55.4%,-68.4%,,-66.7%,-57.9%,-25.5%,-24.6%,-20.0%,,-49.2%,-24.3%,-19.6%,-12.2%,-27.0%,-21.2%,10.4%
,Panel 5,,90.7%,278.1%,68.8%,74.5%,103.3%,65.7%,37.6%,,84.2%,93.7%,98.6%,13.9%,-39.2%,,92.8%,2.0%,156.2%,111.9%,151.1%,261.6%,89.6%
,Panel 5,,4.3%,-2.7%,21.2%,30.6%,9.7%,9.2%,22.4%,,18.8%,15.9%,15.9%,11.5%,14.0%,,17.0%,12.8%,24.2%,19.3%,22.5%,23.0%,15.6%
,Panel 5,,1.6%,77.1%,24.7%,22.2%,13.8%,38.4%,-13.8%,,24.4%,5.8%,23.3%,23.0%,15.4%,,18.0%,19.6%,12.1%,6.2%,8.7%,10.4%,13.4%
,Panel 5,,67.5%,-11.6%,13.1%,7.1%,-6.3%,0.9%,26.1%,,4.8%,7.1%,12.9%,22.2%,106.3%,,8.0%,75.5%,261.1%,58.1%,74.1%,20.9%,-44.1%
,Panel 5,,5.3%,-2.3%,1.9%,18.7%,0.9%,5.2%,13.3%,,6.4%,5.0%,3.2%,7.8%,8.5%,,4.9%,10.1%,15.3%,18.2%,23.5%,21.5%,15.2%
,Panel 5,,72.9%,,148.0%,-33.3%,157.2%,37.4%,,,-4.5%,36.9%,-50.0%,-73.9%,-79.6%,,-7.0%,-79.9%,-71.4%,-88.3%,-25.7%,50.3%,-29.1%
,Panel 5,,0.5%,-43.5%,23.0%,10.5%,-23.1%,-51.0%,-41.2%,,-22.9%,-42.6%,-18.2%,-4.5%,-46.8%,,-29.7%,-29.2%,-40.1%,4.4%,-15.8%,-19.4%,4.7%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,,,,,,,,,-99.7%,-100.0%,-100.0%,-99.9%,,-100.0%,-100.0%,-100.0%,-99.8%,-76.7%,-32.4%,-20.5%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,27.9%,-5.6%,-87.5%,-53.3%,-75.0%,-56.8%,-83.7%,,-68.9%,-67.7%,-35.6%,16.0%,-46.7%,,-61.3%,-33.4%,-30.7%,35.8%,41.6%,62.8%,212.3%
,Panel 5,,2.7%,-39.8%,-31.8%,-22.8%,-21.9%,18.5%,-35.4%,,-18.1%,-13.5%,-11.0%,-21.2%,-3.4%,,-13.9%,-11.2%,-3.1%,2.1%,-2.6%,-6.2%,-12.5%
,Panel 5,,253.3%,609.0%,-24.7%,318.1%,352.0%,6562.5%,-100.0%,,543.4%,132.0%,142.8%,-43.1%,-56.5%,,220.5%,-32.8%,8.3%,-49.7%,40.9%,29.3%,97.6%
,Panel 5,,3.3%,51.8%,4.6%,13.8%,-12.4%,59.8%,4.7%,,13.5%,2.4%,0.8%,5.3%,-2.2%,,5.2%,1.9%,0.2%,6.4%,7.1%,9.1%,9.9%
,Panel 5,,11.3%,-32.7%,31.3%,35.3%,37.2%,8.2%,26.8%,,27.5%,36.6%,45.0%,43.6%,57.2%,,36.2%,47.5%,56.9%,82.8%,81.6%,67.0%,45.1%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,6.3%,-69.8%,-58.2%,-36.7%,-40.8%,53.9%,-10.5%,,-29.4%,-28.5%,-16.5%,-20.5%,-30.3%,,-26.1%,-19.9%,48.2%,129.8%,94.2%,85.7%,92.3%
,Panel 5,,5.6%,161.9%,52.2%,17.9%,1.5%,64.8%,17.8%,,36.0%,-1.8%,12.6%,30.4%,7.6%,,13.3%,19.0%,5.5%,13.5%,11.7%,16.5%,7.9%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,-43.9%,-57.6%,,
,Panel 5,,13.1%,4.7%,0.8%,12.7%,17.0%,7.0%,11.9%,,9.4%,7.5%,11.3%,24.9%,9.2%,,9.4%,22.5%,38.5%,59.8%,92.8%,118.1%,72.9%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,0.7%,-5.3%,-0.8%,-11.0%,-4.8%,-11.1%,42.2%,,-6.9%,-2.1%,-5.3%,-5.4%,-2.6%,,-4.8%,-4.1%,-3.9%,-7.9%,-5.4%,-4.2%,-3.8%
,Panel 5,,0.0%,,,,,,,,,,,-98.9%,-94.8%,,,-94.6%,-76.2%,-52.2%,4.8%,-4.8%,-5.8%
,Panel 5,,7.4%,63.2%,-38.5%,58.6%,22.8%,64.8%,-28.1%,,20.8%,-14.1%,1.3%,3.9%,-11.1%,,1.3%,-6.1%,-2.6%,-8.9%,0.6%,-10.1%,-14.2%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,5.3%,100.0%,18.0%,4.2%,-13.9%,11.2%,-34.3%,,4.3%,-14.0%,-9.5%,-11.7%,-11.1%,,-6.7%,-12.0%,-12.4%,-11.7%,-9.0%,-7.3%,-5.2%
,Panel 1,2.10,2.3%,6.8%,14.8%,11.7%,5.0%,21.3%,-14.6%,-2.6%,13.3%,-0.3%,10.6%,11.5%,8.0%,-2.6%,8.6%,10.9%,7.0%,1.6%,1.3%,9.2%,16.3%
,Panel 1,,38.1%,-53.5%,-54.6%,-39.4%,-21.4%,-24.8%,-2.8%,-50.9%,-37.6%,-8.1%,-2.5%,3.9%,23.9%,-50.9%,-18.2%,19.9%,55.5%,45.3%,50.5%,27.4%,10.3%
,Panel 1,,0.1%,-9.1%,-1.6%,-10.0%,-7.1%,-19.8%,50.0%,0.2%,-9.8%,0.3%,-5.3%,-5.4%,-2.6%,0.2%,-5.1%,-5.1%,-6.0%,-9.5%,-9.5%,-7.2%,-6.3%
,Panel 1,,2.8%,8.7%,17.0%,13.1%,5.7%,24.0%,-18.1%,-2.9%,15.1%,-0.4%,12.4%,13.5%,9.2%,-2.9%,9.9%,12.7%,8.6%,2.9%,2.3%,3.0%,3.9%
,Panel 3,,4.9%,11.3%,35.5%,13.0%,10.5%,42.9%,-25.5%,9.1%,25.1%,2.1%,16.1%,26.6%,13.7%,9.1%,15.6%,20.5%,14.3%,8.6%,14.9%,15.2%,16.4%
,Panel 3,,4.9%,8.3%,21.4%,6.2%,8.4%,50.8%,-27.4%,1.2%,22.5%,-5.2%,10.9%,21.4%,8.1%,1.2%,10.4%,15.3%,11.3%,6.7%,7.1%,13.4%,12.3%
,Panel 3,,4.7%,4.3%,16.7%,3.9%,6.3%,41.4%,-17.9%,-0.9%,18.0%,-5.0%,5.9%,17.7%,5.3%,-0.9%,7.1%,11.8%,7.8%,3.3%,5.8%,29.2%,47.3%
,Panel 3,,5.3%,14.0%,46.9%,16.4%,11.3%,41.6%,-26.8%,6.7%,27.3%,5.2%,20.1%,29.5%,17.6%,6.7%,18.8%,24.2%,16.6%,10.2%,20.1%,16.6%,19.5%
,Panel 3,0.32,1.8%,11.7%,13.6%,-2.2%,34.4%,54.0%,1.0%,21.9%,-13.5%,10.6%,6.0%,8.2%,12.9%,6.3%,8.1%,10.7%,7.7%,-1.7%,2.9%,15.1%,9.6%
,Panel 1,0.50,1.6%,0.0%,0.8%,-3.4%,16.6%,94.1%,49.4%,25.2%,-20.7%,4.9%,-1.5%,1.5%,6.7%,-0.2%,1.5%,-1.4%,0.1%,-3.5%,-8.3%,0.3%,-2.4%
,Panel 5,0.50,0.8%,10.9%,13.2%,2.5%,13.9%,76.9%,71.2%,23.2%,-15.1%,6.1%,0.7%,1.1%,4.9%,3.2%,2.4%,6.9%,8.3%,1.2%,5.2%,11.3%,5.7%
,Panel 5,,0.2%,33.6%,19.0%,12.2%,18.9%,61.6%,56.4%,28.5%,-6.6%,15.2%,6.1%,9.6%,11.6%,10.4%,10.2%,14.5%,11.2%,0.1%,9.2%,8.7%,11.1%
,Panel 5,,9.0%,-34.4%,7.4%,-35.5%,-30.9%,-35.9%,100.2%,-26.6%,-31.7%,-20.3%,-13.5%,-23.0%,-33.0%,-29.0%,-20.0%,-23.7%,-9.1%,-16.4%,-13.6%,6.7%,4.1%
,Panel 5,,1.9%,-4.0%,9.4%,-1.6%,12.4%,98.6%,82.7%,22.0%,-20.6%,-1.1%,-3.8%,-2.6%,2.9%,-0.6%,-2.5%,2.8%,6.9%,3.0%,3.5%,13.8%,1.4%
,Panel 1,,0.8%,5.8%,-0.5%,1.1%,18.7%,70.4%,42.9%,24.4%,-15.9%,5.2%,-2.0%,1.7%,0.9%,2.3%,1.5%,-6.2%,-2.6%,-8.1%,-9.0%,2.1%,2.2%
,Panel 1,,5.0%,-8.6%,2.3%,-9.0%,13.3%,142.9%,59.6%,26.4%,-27.3%,4.5%,-0.8%,1.2%,15.2%,-3.7%,1.4%,6.5%,5.3%,4.0%,-7.3%,-2.5%,-9.9%
,Panel 5,0.95,16.9%,2.7%,34.7%,23.9%,26.5%,21.7%,49.7%,25.2%,22.3%,27.9%,33.9%,43.1%,48.8%,25.1%,42.0%,36.0%,21.7%,13.9%,51.7%,55.5%,70.7%
,Panel 5,,4.0%,-33.3%,-2.0%,-5.3%,-30.5%,-10.6%,2.6%,-15.6%,-10.1%,-11.2%,-15.8%,-14.0%,-18.6%,-12.3%,-16.2%,-17.2%,-24.4%,-42.9%,-49.8%,-51.6%,-27.1%
,Panel 5,,132.0%,51.2%,62.0%,16.7%,-87.0%,804.1%,-13.2%,-28.3%,638.7%,76.9%,290.3%,389.0%,361.1%,206.3%,338.4%,0.4%,15.0%,171.8%,840.1%,6931.7%,2561.2%
,Panel 5,,30.6%,84.9%,74.4%,128.5%,77.4%,113.1%,190.4%,101.4%,109.0%,104.3%,79.6%,68.3%,75.8%,105.0%,74.4%,47.6%,25.4%,19.0%,6.9%,-4.8%,-14.3%
,Panel 5,,7.3%,-31.7%,33.1%,-3.8%,30.1%,0.7%,29.3%,11.9%,2.8%,6.8%,1.3%,17.2%,22.9%,6.5%,13.8%,18.9%,9.8%,19.1%,20.0%,20.9%,28.8%
,Panel 5,,18.0%,,132.3%,,,17.2%,-100.0%,352.7%,49.0%,-18.8%,100.8%,-36.6%,-5.1%,35.3%,17.3%,-50.0%,-50.3%,-57.4%,12.5%,218.2%,7.9%
,Panel 3,5.31,2.5%,-42.0%,-34.5%,-25.3%,-33.3%,-34.0%,-59.7%,-24.2%,-33.5%,-36.0%,-41.5%,-32.1%,-33.4%,-24.2%,-37.4%,-34.9%,-35.5%,-29.7%,-24.0%,-30.1%,-26.2%
,Panel 5,4.03,2.4%,-64.4%,-55.5%,6.1%,-30.3%,-34.8%,-52.9%,-97.7%,-39.1%,-36.5%,-39.5%,-42.2%,-34.3%,-97.7%,-38.4%,-40.8%,-38.3%,-34.3%,-33.0%,-34.9%,-29.3%
,Panel 1,3.80,1.0%,-47.1%,-45.9%,12.4%,-32.8%,-41.2%,-53.4%,-37.3%,-35.8%,-32.9%,-35.0%,-37.3%,-29.1%,-37.3%,-34.7%,-35.8%,-34.8%,-29.0%,-31.2%,-35.3%,-30.5%
,Panel 5,,0.0%,357.7%,271.3%,326.6%,318.4%,318.9%,377.8%,257.1%,320.5%,340.1%,354.5%,352.6%,402.9%,257.1%,334.5%,436.5%,,,,,
,Panel 5,0.77,0.0%,7.6%,-9.4%,-2.2%,-10.7%,5.9%,-28.5%,3.3%,-8.5%,2.5%,-7.6%,13.9%,-14.9%,3.3%,-4.9%,-0.3%,-5.2%,-17.0%,-10.7%,-8.4%,8.1%
,Panel 5,,0.0%,8.5%,-12.4%,4.9%,-12.6%,12.4%,-24.6%,0.1%,-6.8%,4.5%,-2.6%,16.8%,-14.2%,0.1%,-2.2%,2.1%,-4.3%,-19.7%,-15.9%,-17.1%,3.6%
,Panel 5,,0.0%,2.7%,8.8%,-33.8%,-1.2%,-31.3%,-49.1%,27.1%,-17.8%,-8.7%,-33.2%,2.6%,-18.9%,27.1%,-19.8%,-11.9%,-10.0%,5.6%,33.5%,88.3%,41.3%
,Panel 1,,13.5%,7.2%,0.3%,-12.0%,-6.1%,-1.0%,70.7%,-3.5%,-14.7%,-4.8%,-10.3%,0.7%,-11.3%,-9.9%,-3.9%,-8.4%,-15.3%,-14.8%,-21.9%,-8.3%,-5.0%
,Panel 5,,21.4%,14.8%,13.0%,-13.1%,-6.6%,-6.9%,92.8%,10.2%,-7.7%,-8.9%,-4.8%,-9.4%,0.4%,10.2%,-7.6%,-3.9%,0.1%,-11.7%,-5.2%,-7.3%,-10.9%
,Panel 5,,22.6%,14.6%,13.2%,-12.9%,-6.3%,-6.6%,94.5%,10.2%,-7.5%,-8.5%,-4.4%,-8.9%,0.8%,10.2%,-7.3%,-3.5%,0.7%,-11.3%,-4.9%,-7.2%,-10.6%
,Panel 5,,21.6%,,-73.9%,-68.0%,-51.3%,-56.3%,-58.0%,,-54.8%,-53.8%,-31.4%,-53.3%,-62.4%,,-46.0%,-59.3%,-54.7%,-38.5%,-32.4%,-23.3%,-32.6%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
